Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE,Unit,Period,Mean,SD,SE
AGR,1985-1994,0.03,0,0,,1995-2004,0.03,0,0,,2005-2014,0.05,0,0,,2015-2023,0.23,0.01,0
AGU,1985-1994,0.03,0,0,,1995-2004,0.01,0,0,,2005-2014,0.07,0,0,,2015-2023,0.22,0.01,0
ALA,1985-1994,0.03,0,0,,1995-2004,0.03,0,0,,2005-2014,0.05,0,0,,2015-2023,0.24,0.01,0
ANA,1985-1994,0.03,0,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0,0,,2015-2023,0.23,0,0
ASC,1985-1994,0.02,0,0,,1995-2004,0.03,0,0,,2005-2014,0.05,0,0,,2015-2023,0.18,0,0
FAR,1985-1994,0.03,0,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0,0,,2015-2023,0.22,0.01,0
FDP,1985-1994,0.01,0,0,,1995-2004,0.04,0,0,,2005-2014,0.05,0,0,,2015-2023,0.23,0.01,0.01
FFS,1985-1994,0.01,0,0,,1995-2004,0.05,0,0,,2005-2014,0.04,0,0,,2015-2023,0.27,0.01,0
GAR,1985-1994,0,0,0,,1995-2004,0.04,0,0,,2005-2014,0.06,0,0,,2015-2023,0.24,0.01,0
GUA,1985-1994,0.02,0.01,0,,1995-2004,0.01,0,0,,2005-2014,0.07,0.01,0,,2015-2023,0.26,0.03,0.01
GUG,1985-1994,0.03,0,0,,1995-2004,0.02,0,0,,2005-2014,0.05,0,0,,2015-2023,0.26,0.01,0
HAW,1985-1994,0.03,0.01,0,,1995-2004,0.05,0.01,0,,2005-2014,0.01,0.01,0,,2015-2023,0.29,0.04,0
JOH,1985-1994,0.02,0,0,,1995-2004,0.03,0,0,,2005-2014,0.04,0.01,0,,2015-2023,0.27,0.02,0.01
KAH,1985-1994,0.02,0.01,0,,1995-2004,0.06,0,0,,2005-2014,0.02,0,0,,2015-2023,0.29,0.01,0
KAU,1985-1994,0.02,0.01,0,,1995-2004,0.05,0.01,0,,2005-2014,0.03,0.01,0,,2015-2023,0.31,0.03,0.01
KIN,1985-1994,0.07,0,0,,1995-2004,0.02,0,0,,2005-2014,0.01,0,0,,2015-2023,0.24,0.01,0
LAN,1985-1994,0,0,0,,1995-2004,0.08,0.01,0,,2005-2014,0.01,0,0,,2015-2023,0.29,0.01,0
LIS,1985-1994,0,0,0,,1995-2004,0.03,0,0,,2005-2014,0.07,0,0,,2015-2023,0.2,0.01,0
MAI,1985-1994,0.02,0.01,0,,1995-2004,0.07,0.01,0,,2005-2014,0.01,0.01,0,,2015-2023,0.27,0.03,0
MAR,1985-1994,0.01,0,0,,1995-2004,0.03,0.01,0,,2005-2014,0.06,0,0,,2015-2023,0.19,0.01,0
MAU,1985-1994,0.02,0,0,,1995-2004,0.03,0,0,,2005-2014,0.05,0,0,,2015-2023,0.21,0.01,0
MID,1985-1994,0,0,0,,1995-2004,0.03,0,0,,2005-2014,0.07,0,0,,2015-2023,0.17,0,0
MOL,1985-1994,0.01,0.01,0,,1995-2004,0.08,0.01,0,,2005-2014,0,0,0,,2015-2023,0.27,0.02,0
NIH,1985-1994,0,0,0,,1995-2004,0.04,0,0,,2005-2014,0.06,0,0,,2015-2023,0.28,0,0
NII,1985-1994,0.01,0,0,,1995-2004,0.05,0,0,,2005-2014,0.04,0,0,,2015-2023,0.3,0.01,0
OAH,1985-1994,0,0.01,0,,1995-2004,0.09,0.01,0,,2005-2014,0.01,0.01,0,,2015-2023,0.25,0.02,0
OFU,1985-1994,0.02,0,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0,0,,2015-2023,0.26,0,0
PAG,1985-1994,0.02,0,0,,1995-2004,0.03,0,0,,2005-2014,0.06,0,0,,2015-2023,0.24,0,0
PAL,1985-1994,0.07,0,0,,1995-2004,0.01,0,0,,2005-2014,0.02,0,0,,2015-2023,0.24,0,0
PHR,1985-1994,0,0,0,,1995-2004,0.04,0,0,,2005-2014,0.06,0,0,,2015-2023,0.19,0.01,0
ROS,1985-1994,0.01,0,0,,1995-2004,0.03,0,0,,2005-2014,0.06,0,0,,2015-2023,0.21,0,0
ROT,1985-1994,0.01,0,0,,1995-2004,0.01,0,0,,2005-2014,0.08,0,0,,2015-2023,0.23,0.01,0
SAI,1985-1994,0.02,0.01,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0.01,0,,2015-2023,0.19,0.01,0
SAR,1985-1994,0.03,0,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0,0,,2015-2023,0.24,0.01,0
SWA,1985-1994,0.01,0,0,,1995-2004,0.03,0,0,,2005-2014,0.05,0,0,,2015-2023,0.19,0.01,0
TAU,1985-1994,0.02,0,0,,1995-2004,0.02,0,0,,2005-2014,0.07,0,0,,2015-2023,0.26,0,0
TIN,1985-1994,0.03,0,0,,1995-2004,0.01,0,0,,2005-2014,0.06,0,0,,2015-2023,0.18,0.01,0
TUT,1985-1994,0.03,0.01,0,,1995-2004,0.01,0,0,,2005-2014,0.05,0.01,0,,2015-2023,0.25,0.02,0
WAK,1985-1994,0,0,0,,1995-2004,0.01,0,0,,2005-2014,0.09,0,0,,2015-2023,0.1,0.01,0
